,LSTM_5,LSTM_30,Conv1D_LSTM_30,LSTM_90,Conv1D_LSTM_90,LSTM_180,Conv1D_LSTM_180
2023-06-16,25569.11670234846,25572.682442147518,25587.74270015303,25576.01188880042,25615.683221331798,25619.10108735552,25613.058080701623
2023-06-17,26314.493129683076,26328.329110593535,26340.415389937116,26339.401661495678,26367.933566328837,26371.260353164515,26365.20622881921
2023-06-18,26494.148893952603,26511.652319767047,26524.47373324167,26513.491625323426,26551.387008358724,26554.686381212436,26548.65965321241
2023-06-19,26315.689840356587,26334.674525223207,26350.946663748706,26330.748553927406,26376.7095749469,26379.896188993473,26373.959354351042
2023-06-20,26825.03965325642,26850.182660907623,26866.659253127174,26860.404709912604,26892.38802403747,26895.61452330067,26889.545631829416
2023-06-21,28304.491593933664,28334.09349716641,28345.807962408755,28378.749619496986,28371.38122423645,28374.76150088897,28368.13264667429
2023-06-22,30014.8329420425,30064.81037798524,30046.780271636322,30095.841347200796,30074.0527314879,30078.000956086442,30070.38371044211
2023-06-23,29913.129915587604,29922.162142198533,29932.043034397066,29983.069944307208,29959.168240804225,29963.6718737334,29955.213744431734
2023-06-24,30701.725956387818,30704.6350084804,30717.71293574944,30769.241579230875,30743.784629032016,30748.281767424196,30739.532656036317
2023-06-25,30553.833734641783,30555.83666318748,30570.43619144149,30631.467245073058,30596.88941499777,30601.1720403973,30592.555805962533
2023-06-26,30476.054090610705,30484.433011585847,30503.54538119957,30565.991233705543,30528.475032895338,30532.344742712565,30524.03122528363
2023-06-27,30260.729069864494,30275.067841978977,30293.305706397397,30351.036089255707,30319.12884802348,30322.45597722684,30314.596446418902
2023-06-28,30677.964682411402,30693.227169401944,30710.71756976191,30766.22517165728,30736.8854914885,30739.629227165133,30732.224799152464
2023-06-29,30065.90312530473,30088.43030880345,30108.400275006425,30167.96945041325,30134.11591036478,30136.174595817458,30129.43544953596
2023-06-30,30421.72074269969,30447.866715029813,30468.31457845401,30519.074929510243,30493.8617049437,30495.400557285175,30489.04916200787
2023-07-01,30464.143470162526,30475.349987817113,30502.74228473939,30546.96888205153,30525.936451932415,30526.706684301607,30520.98443910596
2023-07-02,30563.377562519163,30594.279032945633,30619.520946834236,30660.88092766702,30639.01213864796,30638.982965676114,30633.96521451883
2023-07-03,30585.128195559606,30622.04347903328,30648.358348860405,30685.02906356193,30669.887701369822,30669.405864385888,30664.693352671806
2023-07-04,31123.136643605656,31158.95763801923,31184.696607513353,31224.203882911475,31206.565446240827,31205.618341302732,31201.127949655056
2023-07-05,30743.675210912013,30778.616681830026,30803.64642032981,30843.304356923793,30827.33331445977,30825.825366273988,30821.72712266445
2023-07-06,30476.63172840688,30512.670973511646,30536.678949054563,30572.920079408213,30563.764310553437,30561.67270662356,30557.944195270305
2023-07-07,29885.52411034447,29897.94086282642,29930.744978033938,29963.707756697433,29958.36311578704,29955.696143538225,29952.266160512343
2023-07-08,30313.71963020414,30337.854596027173,30359.844633452594,30388.701697122306,30392.344096610323,30389.197237072513,30385.83335273899
2023-07-09,30255.981709809043,30288.171521350276,30307.476741509512,30321.69745923998,30342.887700896244,30339.312660126016,30336.048178453
2023-07-10,30131.239166468382,30163.706499869004,30182.042432701215,30185.18234430626,30221.771486068144,30217.710821460932,30214.567313164473
2023-07-11,30373.545756094274,30408.303408781765,30421.830848637503,30438.75918331626,30465.89745383896,30461.223942722892,30458.14573408244
2023-07-12,30575.28589592455,30616.437573656556,30624.743835481117,30648.61315917736,30673.238095353357,30667.92690618406,30664.91540717054
2023-07-13,30351.197873929166,30386.72287278506,30392.81307961559,30425.51035305136,30444.092548669316,30438.2269657671,30435.267002066597
2023-07-14,31442.28244359442,31468.634406985715,31474.13518704148,31534.726316878106,31530.996592883952,31524.396407264518,31521.21075769607
2023-07-15,30315.68770915619,30323.766082673566,30330.622213465394,30386.98640684737,30387.673466367647,30380.802871164866,30377.57369141956
2023-07-16,30270.44639560813,30291.852002588334,30289.775366176385,30329.57455445407,30349.97254133178,30342.641111912206,30339.239039738197
2023-07-17,30217.811290787533,30241.54222958442,30243.630090633407,30266.12417910248,30303.730919827707,30296.032157583162,30292.48026961554
2023-07-18,30114.71897537762,30138.155094096437,30138.920545800356,30161.19051861344,30200.871822438203,30192.728566282894,30189.063022912014
2023-07-19,29827.389684375376,29847.995554693043,29851.04933079332,29867.95187473297,29911.252853795886,29902.860308289528,29899.29756950587
2023-07-20,29883.52352802339,29905.823619130184,29907.966795712127,29920.902524582343,29968.836933258688,29959.953983399086,29956.723171446938
2023-07-21,29763.729822582565,29784.243200040422,29787.60112912394,29803.852724561468,29846.722700200975,29837.549214402214,29834.61568777822
2023-07-22,29881.472394951386,29901.246104129823,29906.7653435471,29915.418569687754,29963.72261078935,29954.19586161431,29951.489722907776
2023-07-23,29741.642691178713,29762.300084850634,29773.179775650613,29763.48370151408,29826.508183401544,29816.801462038653,29814.331305523636
2023-07-24,30045.912209514063,30074.617407165002,30087.537256557494,30083.256940041203,30139.786884815432,30129.780950102024,30127.496440993622
2023-07-25,29154.114941484877,29166.23806617642,29184.947085747728,29168.102359630633,29230.58053746284,29220.59474174073,29218.56001847447
2023-07-26,29202.889896050096,29214.76396946609,29236.02093012072,29215.80922240764,29281.179341372102,29270.98464101553,29269.092733191326
2023-07-27,29330.79365258594,29344.04232584336,29367.706919848453,29351.221315063536,29409.10464954609,29398.64848586591,29396.84280298138
2023-07-28,29190.050539447227,29199.61958530289,29224.89677011594,29199.346233738237,29264.586720866617,29254.077484915964,29252.346838704078
2023-07-29,29298.18970416882,29308.28188192891,29337.057258378714,29311.874871967826,29373.333176291082,29362.75342838466,29361.047806654125
2023-07-30,29324.560506875627,29344.489077786682,29375.40994674526,29337.507341204444,29410.987056567334,29400.22923288122,29398.76989245275
2023-07-31,29243.684966942994,29261.76084566582,29297.249524251092,29253.93477016897,29329.000531997066,29318.321472456213,29317.03719340032
2023-08-01,29202.592483018176,29217.030512103345,29252.68740884005,29213.56866055366,29283.6262914869,29272.991595030297,29271.772019748576
2023-08-02,29645.26641278062,29667.532211809885,29701.963896263624,29687.933683529263,29730.10214943788,29719.425603287527,29718.0211669649
2023-08-03,29133.319833277143,29145.2987936266,29177.491163570667,29159.997085706098,29205.32043960155,29195.19027731009,29193.497862546472
